"location","hits","keyword","geo","gprop"
"West Virginia",100,"hair dye","US","web"
"New Mexico",93,"hair dye","US","web"
"Nevada",88,"hair dye","US","web"
"Louisiana",86,"hair dye","US","web"
"Kentucky",86,"hair dye","US","web"
"Idaho",85,"hair dye","US","web"
"Pennsylvania",84,"hair dye","US","web"
"Oklahoma",84,"hair dye","US","web"
"Arizona",83,"hair dye","US","web"
"Mississippi",82,"hair dye","US","web"
"Michigan",82,"hair dye","US","web"
"Texas",82,"hair dye","US","web"
"California",81,"hair dye","US","web"
"Utah",81,"hair dye","US","web"
"Indiana",81,"hair dye","US","web"
"Delaware",80,"hair dye","US","web"
"Oregon",80,"hair dye","US","web"
"Alaska",80,"hair dye","US","web"
"Rhode Island",80,"hair dye","US","web"
"Ohio",79,"hair dye","US","web"
"Washington",78,"hair dye","US","web"
"Wyoming",77,"hair dye","US","web"
"South Dakota",77,"hair dye","US","web"
"Tennessee",77,"hair dye","US","web"
"Kansas",77,"hair dye","US","web"
"Arkansas",76,"hair dye","US","web"
"New York",75,"hair dye","US","web"
"Georgia",75,"hair dye","US","web"
"Illinois",75,"hair dye","US","web"
"Colorado",75,"hair dye","US","web"
"Maine",74,"hair dye","US","web"
"South Carolina",74,"hair dye","US","web"
"New Hampshire",74,"hair dye","US","web"
"New Jersey",74,"hair dye","US","web"
"Missouri",72,"hair dye","US","web"
"Maryland",72,"hair dye","US","web"
"Wisconsin",72,"hair dye","US","web"
"North Carolina",72,"hair dye","US","web"
"Florida",72,"hair dye","US","web"
"Vermont",72,"hair dye","US","web"
"Alabama",71,"hair dye","US","web"
"Connecticut",71,"hair dye","US","web"
"Montana",71,"hair dye","US","web"
"Virginia",70,"hair dye","US","web"
"Iowa",70,"hair dye","US","web"
"Minnesota",67,"hair dye","US","web"
"North Dakota",66,"hair dye","US","web"
"Nebraska",64,"hair dye","US","web"
"Massachusetts",62,"hair dye","US","web"
"Hawaii",60,"hair dye","US","web"
"District of Columbia",40,"hair dye","US","web"
