"date","hits","keyword","geo","time","gprop","category"
2019-01-06,41,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-01-13,41,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-01-20,46,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-01-27,44,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-02-03,44,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-02-10,42,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-02-17,44,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-02-24,43,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-03-03,46,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-03-10,44,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-03-17,45,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-03-24,45,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-03-31,42,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-04-07,45,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-04-14,48,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-04-21,47,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-04-28,44,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-05-05,45,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-05-12,43,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-05-19,50,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-05-26,54,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-06-02,51,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-06-09,54,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-06-16,56,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-06-23,57,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-06-30,52,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-07-07,53,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-07-14,51,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-07-21,51,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-07-28,53,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-08-04,53,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-08-11,51,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-08-18,48,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-08-25,44,"hair dye","US","2019-01-01 2020-08-03","web",0
2019-09-01,46,"hair dye","US","2019-01-01 2020-08-03","web",0
